NZT7 COMBINED-SITE HOMOGENEOUS TEMPERATURE DATA
TMean Anomalies relative to 1981-2010
 
Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec    Annual
1909    -2.25   -0.52    0.03   -1.08    0.21    0.42   -0.30    0.08   -0.52   -0.20    0.16    1.28   -0.22
1910    -0.12    0.41    0.07   -1.31    0.23    0.03   -1.05   -0.40   -0.49    0.39    0.77   -0.31   -0.15
1911    -1.12   -1.53    0.79    1.55   -0.35   -0.23   -0.83   -0.30   -0.85   -0.93   -1.47   -2.67   -0.66
1912    -2.12   -2.88   -2.51   -0.80   -1.87   -1.09   -0.73   -1.37   -0.10   -0.33   -1.15   -0.39   -1.28
1913    -0.70   -1.63   -0.41   -2.08   -3.10   -1.63   -0.01   -0.70    0.40   -0.01   -0.89   -1.69   -1.04
1914     0.21   -0.78   -0.51   -0.52   -2.22   -1.40   -0.88   -1.25   -0.88   -0.46   -1.18   -2.49   -1.03
1915    -0.79   -1.95   -2.17   -1.82   -0.97   -0.96    0.27   -0.45    0.79    0.89   -0.78   -0.10   -0.67
1916    -0.73    0.42    1.78    0.49    0.23    1.30    0.23   -0.62   -0.19   -0.24    0.73    1.17    0.38
1917     0.57   -1.01   -0.02    0.82    0.69    0.18    0.92   -0.60    0.59    0.25    0.70   -0.79    0.19
1918    -0.30    0.45   -0.18    0.01   -0.74   -0.47   -2.02   -0.90   -1.31   -0.50   -1.40   -2.26   -0.80
1919    -2.34   -0.48   -1.14   -1.55   -1.60   -0.77   -0.38   -0.54   -1.62   -0.57   -1.80   -1.87   -1.22
1920    -2.44   -0.59   -0.75   -0.51   -2.24   -0.44   -0.22   -1.64   -1.46   -0.38   -1.56   -0.56   -1.07
1921    -1.17   -1.47   -1.07   -1.75   -0.79    0.15   -0.14   -0.63   -0.02   -0.16   -0.76   -1.19   -0.75
1922    -0.83   -0.32   -1.74   -0.46   -0.50   -1.47   -0.82   -0.42   -0.77    1.04   -0.52   -0.36   -0.60
1923    -0.59   -2.28   -1.82   -2.26   -0.37   -1.03   -1.17   -1.62   -0.05   -0.17    1.19    1.04   -0.76
1924     0.16    0.41    0.41    2.25   -0.54   -0.26   -0.62   -0.26    0.79    0.78    0.36   -1.11    0.20
1925    -0.53   -1.59   -1.56   -0.92   -1.21   -1.31   -0.13   -1.17   -1.42   -0.28   -1.40   -0.71   -1.02
1926    -0.37   -2.49   -1.69    0.71   -0.58   -0.85   -0.16   -0.80   -0.72   -0.29   -1.36   -1.35   -0.83
